user_id,recommend_video_ids
user_318,"5121342379327540,5215954519392260,5026409962209334,5039103981322244,5249134521679881,5133972615921692,5134104979767322,5052241984290830,5050232929452092,5040427372576796"
user_322,"5122826647044098,5116623435268114,5249155468296277,4797413282742404,5249134521679881,5039103981322244,5133972615921692,5134104979767322,5052241984290830,5050232929452092"
user_324,"5246758398132259,5122762260283424,5215954519392260,5249134521679881,5039103981322244,5133972615921692,5134104979767322,5052241984290830,5050232929452092,5040427372576796"
user_325,"5128948309491745,5117763853942892,5117796699275493,5249134521679881,5039103981322244,5052241984290830,5050232929452092,5040427372576796,5216002871328773,5040568711970823"
user_334,"5128948309491745,5112532830978104,5249156722393109,4797413282742404,5039103981322244,5249134521679881,5052241984290830,5050232929452092,5040427372576796,5216002871328773"
user_335,"5246758398132259,5026409962209334,5122826647044098,5083312130293767,5249134521679881,5039103981322244,5133972615921692,5134104979767322,5052241984290830,5050232929452092"
user_337,"5215954519392260,5122762260283424,5120599727472664,5039103981322244,5249134521679881,5133972615921692,5134104979767322,5052241984290830,5050232929452092,5040427372576796"
user_342,"5114447312650295,5120599727472664,5026409962209334,5039103981322244,5249134521679881,5133972615921692,5134104979767322,5052241984290830,5050232929452092,5040427372576796"
user_348,"4797413282742404,5128948309491745,5122826647044098,5117765573607442,5116623435268114,5249134521679881,5039103981322244,5052241984290830,5050232929452092"
user_353,"5120599727472664,5026409962209334,5249134521679881,5039103981322244,5133972615921692,5134104979767322,5052241984290830,5050232929452092,5040427372576796,5137640857731103"
user_357,"4797413282742404,5128948309491745,5249134521679881,5039103981322244,5052241984290830,5050232929452092,5040427372576796,5216002871328773,5040568711970823,5026395403780135"
user_362,"5122826647044098,5083312130293767,5117763853942892,5116623435268114,5246758398132259,5249134521679881,5039103981322244,5133972615921692,5134104979767322,5052241984290830"
user_363,"5117765573607442,5083312130293767,5249156722393109,5039103981322244,5249134521679881,5133972615921692,5134104979767322,5052241984290830,5050232929452092"
user_372,"5120599727472664,5117796699275493,5249134521679881,5039103981322244,5133972615921692,5134104979767322,5052241984290830,5050232929452092,5040427372576796,5137640857731103"
user_375,"5083312130293767,5039103981322244,5249134521679881,5133972615921692,5134104979767322,5052241984290830,5050232929452092,5040427372576796,5137640857731103,5145867431116881"
user_378,"4945957398184047,5177020573745210,5062162289197090,4965892535287904,4964783091548209,5060738746876014,5231405282820169,5135463242203185,4956343384080417,5175286010937452"
user_382,"4942316163498071,5135463242203185,5175279912419399,5146218700144665,4956343384080417,5057588492959754,5038361564610567,5205490125176869,5179557389467664,4964783091548209"
user_385,"5135463242203185,4940428047482957,5246059606114340,5184082372657219,5178659108225051,5228870434226225,5112717485473879,4941172976844805,5130409239838730,5062679652401159"
user_389,"4956343384080417,4967335971455092,5035542216114205,5112717485473879,5145868714835995,5038361564610567,5180306416926738,5175272610136096,4941172976844805,5109752506548264"
user_392,"5246059606114340,4659946994991117,5180306416926738,5057588492959754,4945181514858517,5179557389467664,4940428047482957,5177020573745210,5175286010937452,5145868714835995"
user_395,"4964783091548209,5038361564610567,4940428047482957,5135463242203185,5243810611920919,5175286010937452,5085828645322799,5062679652401159,5180306416926738,5057617484251144"
user_407,"4943862666297367,5145868714835995,5085828645322799,5175279912419399,5110070372139047,4965892535287904,5175268436803605,4940428047482957,5057588492959754,5231405282820169"
user_409,"5145868714835995,5130409239838730,4945957398184047,5060738746876014,5179557389467664,4659946994991117,5035542216114205,5175279912419399,5180306416926738,5246059606114340"
user_410,"4945957398184047,5110448589045832,5177020573745210,5062162289197090,5145868714835995,5035542216114205,4940428047482957,5110070372139047,5231405282820169,5246059606114340"
user_411,"4956343384080417,5057588492959754,5135463242203185,5109752506548264,4967335971455092,4941172976844805,5179557389467664,5145867431116881,4965892535287904,5205490125176869"
user_415,"5062679652401159,5175268436803605,5205490125176869,4956343384080417,5057588492959754,5035542216114205,5179557389467664,4945957398184047,5175286010937452,5062162289197090"
user_416,"5060738746876014,4942316163498071,4945957398184047,5057588492959754,5135463242203185,4967335971455092,5035542216114205,5112717485473879,5057617484251144,4965892535287904"
user_432,"4659946994991117,5243810611920919,5179557389467664,5035542216114205,5020230288867337,4943862666297367,5177020573745210,4964783091548209,5057617484251144,5135843229106253"
user_439,"4945957398184047,5062162289197090,5035542216114205,5060738746876014,5135463242203185,4967335971455092,5175279912419399,5085828645322799,5175268436803605,4943852101107744"
user_441,"5057588492959754,5175263034540089,4945957398184047,5231405282820169,5109752506548264,5085828645322799,4943862666297367,5179557389467664,5178831045066839,5145867431116881"
user_451,"5062162289197090,5178659108225051,5175279912419399,4956343384080417,5184082372657219,5060168556150811,5177411898114138,5243810611920919,5062679652401159,5178831045066839"
user_452,"4945957398184047,4956343384080417,5110448589045832,4940428047482957,5175279912419399,4925191512588339,5112717485473879,5060168556150811,5020230288867337,5085828645322799"
user_456,"5246059606114340,5179557389467664,5110448589045832,5038361564610567,4659946994991117,4925191512588339,5175286010937452,5175268436803605,4940428047482957,5085828645322799"
user_462,"4956343384080417,5175279912419399,5060738746876014,5145868714835995,4659946994991117,4967335971455092,4965892535287904,4941172976844805,5112717485473879,5178831045066839"
user_466,"4943862666297367,5243810611920919,5020230288867337,5110070372139047,5130409239838730,5175268436803605,4945957398184047,5231405282820169,5146218700144665,5246059606114340"
user_473,"5177020573745210,4943862666297367,5110448589045832,5130409239838730,4945957398184047,4967335971455092,5109752506548264,5062679652401159,5035542216114205,5243810611920919"
user_476,"5178659108225051,5175279912419399,5060738746876014,5085828645322799,5145868714835995,5038361564610567,5179557389467664,5060168556150811,4945957398184047,4925191512588339"
user_478,"5110070372139047,5020230288867337,4925191512588339,4956343384080417,5060738746876014,4945957398184047,5146218700144665,4942316163498071,5057588492959754,5175286010937452"
user_484,"5057588492959754,5109752506548264,5110448589045832,5177020573745210,4965892535287904,4941172976844805,5175263034540089,4945957398184047,5175286010937452,4940428047482957"
user_486,"5231405282820169,4943852101107744,5038361564610567,5145867431116881,5205490125176869,5180306416926738,5110070372139047,4967335971455092,5184082372657219,5175279912419399"
user_491,"5246059606114340,5179557389467664,5135463242203185,5135843229106253,5062679652401159,5228870434226225,4964783091548209,4943852101107744,5175286010937452,5110070372139047"
user_492,"5246059606114340,4956343384080417,5135843229106253,5060168556150811,4943862666297367,5145868714835995,4925191512588339,5085828645322799,5175286010937452,5090407688634409"
user_495,"5057588492959754,5246059606114340,4945957398184047,5060738746876014,5060168556150811,5175279912419399,5038361564610567,5175268436803605,5135463242203185,5062679652401159"
user_496,"5175286010937452,5110070372139047,4659946994991117,4943862666297367,4965892535287904,4945957398184047,4941172976844805,5231405282820169,5135463242203185,5175268436803605"
user_498,"5057588492959754,4964783091548209,4940428047482957,5178831045066839,5035542216114205,5135843229106253,4659946994991117,4967335971455092,5228870434226225,5177411898114138"
