user_id,content_category,behavior_weight_enhanced,total_prefer_score,cate_prefer_ratio
user_321,影视,10.4,10.4,1.0
user_322,影视,15.3,15.3,1.0
user_323,影视,12.700000000000001,12.700000000000001,1.0
user_324,影视,10.7,10.7,1.0
user_325,影视,13.600000000000001,13.600000000000001,1.0
user_326,影视,10.9,10.9,1.0
user_327,影视,9.700000000000001,9.700000000000001,1.0
user_328,影视,6.1000000000000005,6.1000000000000005,1.0
user_329,影视,11.3,11.3,1.0
user_330,影视,8.4,8.4,1.0
user_331,影视,10.1,10.1,1.0
user_332,影视,11.0,11.0,1.0
user_333,影视,14.5,14.5,1.0
user_334,影视,8.7,8.7,1.0
user_335,影视,13.9,13.9,1.0
user_336,影视,14.200000000000001,14.200000000000001,1.0
user_337,影视,11.4,11.4,1.0
user_338,影视,13.200000000000001,13.200000000000001,1.0
user_339,影视,13.700000000000001,13.700000000000001,1.0
user_340,影视,15.4,15.4,1.0
user_341,影视,7.1000000000000005,7.1000000000000005,1.0
user_342,影视,9.8,9.8,1.0
user_343,影视,10.1,10.1,1.0
user_344,影视,14.9,14.9,1.0
user_345,影视,16.400000000000002,16.400000000000002,1.0
user_346,影视,10.700000000000001,10.700000000000001,1.0
user_347,影视,14.700000000000001,14.700000000000001,1.0
user_348,影视,10.8,10.8,1.0
user_349,影视,10.4,10.4,1.0
user_350,影视,12.8,12.8,1.0
user_351,影视,13.3,13.3,1.0
user_352,影视,15.3,15.3,1.0
user_353,影视,8.3,8.3,1.0
user_354,影视,16.3,16.3,1.0
user_355,影视,15.200000000000001,15.200000000000001,1.0
user_356,影视,13.8,13.8,1.0
user_357,影视,14.4,14.4,1.0
user_358,影视,9.6,9.6,1.0
user_359,影视,10.4,10.4,1.0
user_360,影视,18.5,18.5,1.0
user_361,影视,14.4,14.4,1.0
user_362,影视,13.8,13.8,1.0
user_363,影视,13.8,13.8,1.0
user_364,影视,18.8,18.8,1.0
user_365,影视,18.6,18.6,1.0
user_366,影视,11.4,11.4,1.0
user_367,影视,8.1,8.1,1.0
user_368,影视,19.2,19.2,1.0
user_369,影视,13.600000000000001,13.600000000000001,1.0
user_370,影视,20.3,20.3,1.0
user_371,影视,8.5,8.5,1.0
user_372,影视,12.5,12.5,1.0
user_373,影视,13.0,13.0,1.0
user_374,影视,11.5,11.5,1.0
user_375,影视,17.2,17.2,1.0
user_376,物料,13.3,13.3,1.0
user_377,物料,13.200000000000001,13.200000000000001,1.0
user_378,物料,12.5,12.5,1.0
user_379,物料,11.3,11.3,1.0
user_380,物料,9.7,9.7,1.0
user_381,物料,17.5,17.5,1.0
user_382,物料,10.700000000000001,10.700000000000001,1.0
user_383,物料,12.700000000000001,12.700000000000001,1.0
user_384,物料,8.5,8.5,1.0
user_385,物料,14.3,14.3,1.0
user_386,物料,13.9,13.9,1.0
user_387,物料,11.3,11.3,1.0
user_388,物料,20.0,20.0,1.0
user_389,物料,11.700000000000001,11.700000000000001,1.0
user_390,物料,13.4,13.4,1.0
user_391,物料,16.1,16.1,1.0
user_392,物料,9.8,9.8,1.0
user_393,物料,13.8,13.8,1.0
user_394,物料,17.1,17.1,1.0
user_395,物料,12.200000000000001,12.200000000000001,1.0
user_396,物料,7.3,7.3,1.0
user_397,物料,9.0,9.0,1.0
user_398,物料,6.5,6.5,1.0
user_399,物料,7.5,7.5,1.0
user_400,物料,8.7,8.7,1.0
user_401,物料,19.400000000000002,19.400000000000002,1.0
user_402,物料,17.900000000000002,17.900000000000002,1.0
user_403,物料,23.0,23.0,1.0
user_404,物料,20.0,20.0,1.0
user_405,物料,15.4,15.4,1.0
user_406,物料,23.3,23.3,1.0
user_407,物料,18.7,18.7,1.0
user_408,物料,20.5,20.5,1.0
user_409,物料,18.2,18.2,1.0
user_410,物料,17.6,17.6,1.0
user_411,物料,19.400000000000002,19.400000000000002,1.0
user_412,物料,18.0,18.0,1.0
user_413,物料,19.400000000000002,19.400000000000002,1.0
user_414,物料,14.4,14.4,1.0
user_415,物料,18.0,18.0,1.0
user_416,物料,18.1,18.1,1.0
user_417,物料,19.7,19.7,1.0
user_418,物料,15.7,15.7,1.0
user_419,物料,20.200000000000003,20.200000000000003,1.0
user_420,物料,13.0,13.0,1.0
user_421,物料,15.600000000000001,15.600000000000001,1.0
user_422,物料,26.5,26.5,1.0
user_423,物料,16.3,16.3,1.0
user_424,物料,11.5,11.5,1.0
user_425,物料,13.3,13.3,1.0
user_426,物料,18.6,18.6,1.0
user_427,物料,13.7,13.7,1.0
user_428,物料,24.6,24.6,1.0
user_429,物料,15.3,15.3,1.0
user_430,物料,15.700000000000001,15.700000000000001,1.0
user_431,物料,12.8,12.8,1.0
user_432,物料,12.5,12.5,1.0
user_433,物料,20.0,20.0,1.0
user_434,物料,16.5,16.5,1.0
user_435,物料,21.8,21.8,1.0
user_436,物料,16.1,16.1,1.0
user_437,物料,21.3,21.3,1.0
user_438,物料,17.0,17.0,1.0
user_439,物料,18.2,18.2,1.0
user_440,物料,16.900000000000002,16.900000000000002,1.0
user_441,物料,20.2,20.2,1.0
user_442,物料,19.3,19.3,1.0
user_443,物料,21.400000000000002,21.400000000000002,1.0
user_444,物料,19.7,19.7,1.0
user_445,物料,20.900000000000002,20.900000000000002,1.0
user_446,物料,12.700000000000001,12.700000000000001,1.0
user_447,物料,21.5,21.5,1.0
user_448,物料,15.700000000000001,15.700000000000001,1.0
user_449,物料,21.6,21.6,1.0
user_450,物料,20.1,20.1,1.0
user_451,物料,20.6,20.6,1.0
user_452,物料,18.5,18.5,1.0
user_453,物料,21.400000000000002,21.400000000000002,1.0
user_454,物料,12.4,12.4,1.0
user_455,物料,12.200000000000001,12.200000000000001,1.0
user_456,物料,14.0,14.0,1.0
user_457,物料,13.0,13.0,1.0
user_458,物料,19.5,19.5,1.0
user_459,物料,17.900000000000002,17.900000000000002,1.0
user_460,物料,16.8,16.8,1.0
user_461,物料,15.3,15.3,1.0
user_462,物料,16.6,16.6,1.0
user_463,物料,20.3,20.3,1.0
user_464,物料,22.400000000000002,22.400000000000002,1.0
user_465,物料,19.0,19.0,1.0
user_466,物料,14.100000000000001,14.100000000000001,1.0
user_467,物料,15.700000000000001,15.700000000000001,1.0
user_468,物料,13.6,13.6,1.0
user_469,物料,15.600000000000001,15.600000000000001,1.0
user_470,物料,20.6,20.6,1.0
user_471,物料,12.5,12.5,1.0
user_472,物料,14.9,14.9,1.0
user_473,物料,20.400000000000002,20.400000000000002,1.0
user_474,物料,24.5,24.5,1.0
user_475,物料,15.5,15.5,1.0
user_476,物料,17.8,17.8,1.0
user_477,物料,16.400000000000002,16.400000000000002,1.0
user_478,物料,21.900000000000002,21.900000000000002,1.0
user_479,物料,15.4,15.4,1.0
user_480,物料,18.8,18.8,1.0
user_481,物料,21.1,21.1,1.0
user_482,物料,16.8,16.8,1.0
user_483,物料,16.3,16.3,1.0
user_484,物料,18.5,18.5,1.0
user_485,物料,15.5,15.5,1.0
user_486,物料,19.5,19.5,1.0
user_487,物料,22.2,22.2,1.0
user_488,物料,15.700000000000001,15.700000000000001,1.0
user_489,物料,16.2,16.2,1.0
user_490,物料,19.2,19.2,1.0
user_491,物料,20.6,20.6,1.0
user_492,物料,17.400000000000002,17.400000000000002,1.0
user_493,物料,19.0,19.0,1.0
user_494,物料,16.400000000000002,16.400000000000002,1.0
user_495,物料,15.700000000000001,15.700000000000001,1.0
user_496,物料,17.900000000000002,17.900000000000002,1.0
user_497,物料,21.400000000000002,21.400000000000002,1.0
user_498,物料,17.3,17.3,1.0
user_499,物料,23.8,23.8,1.0
user_500,物料,11.0,11.0,1.0
